pl_name,pl_rade,pl_bmasse,disc_year,st_teff,pl_eqt,pl_orbsmax,pl_orbper
HATS-64 b,18.819911,305.1168,2018,6554.0,1793.0,0.06562,4.908897
HATS-65 b,16.824709,260.93843,2018,6277.0,1634.0,0.04497,3.105161
HATS-66 b,15.815899,1694.0339,2018,6626.0,1998.0,0.04714,3.1414391
HATS-67 b,18.887165,460.8535,2018,6594.0,2193.0,0.03032,1.6091788
HATS-68 b,13.809488,410.0007,2018,6147.0,1741.0,0.05071,3.5862202
HATS-69 b,10.592505,183.38791,2018,5137.0,1295.7,0.03211,2.2252577
HATS-7 b,6.310667,38.1396,2015,4985.0,1084.0,0.04012,3.185315
HATS-70 b,15.513256,4100.007,2019,7930.0,2730.0,0.03632,1.8882378
HATS-71 b,11.478016,117.5971,2020,3405.0,586.8,0.03745,3.7955202
HATS-72 b,8.0973816,39.855882,2020,4656.1,739.3,0.066517,7.3279474
HATS-74 A b,11.56766808,464.02947422,2021,3776.9,895.1,0.02384,1.73185606
HATS-75 b,9.90873894,156.05374784,2021,3790.4,772.3,0.032742,2.7886556
HATS-76 b,12.09449018,835.570882,2021,4016.0,939.8,0.02658,1.9416423
HATS-77 b,13.05846252,436.69623122,2021,4071.0,828.3,0.03607,3.0876262
HATS-8 b,9.785457,43.86054,2015,5679.0,1324.0,0.04667,3.583893
HATS-9 b,11.937585,266.02371,2015,5366.0,1823.0,0.03048,1.9153073
HD 106315 b,2.44,12.6,2017,6327.0,1153.0,0.0907,9.55237
HD 106315 c,4.35,15.2,2017,6327.0,886.0,0.1536,21.05704
HD 110067 b,2.2,5.69,2023,5266.0,800.0,0.0793,9.113678
HD 110067 c,2.388,6.3,2023,5266.0,699.0,0.1039,13.673694
HD 110067 d,2.852,8.52,2023,5266.0,602.0,0.1362,20.519617
HD 110067 e,1.94,3.9,2023,5266.0,533.0,0.1785,30.793091
HD 110067 f,2.601,5.04,2023,5266.0,489.0,0.2163,41.05854
HD 110067 g,2.607,8.4,2023,5266.0,440.0,0.2621,54.76992
HD 110113 b,2.05,4.55,2021,5732.0,1371.0,0.035,2.541
HD 118203 b,12.778238,680.15279098,2005,5742.0,1361.0,0.0713,6.1349779
HD 118203 b,12.06086323,725.28442477,2005,5872.0,1360.0,0.08635,6.1349847
HD 118203 b,12.55405838,693.50158407,2005,5788.0,1371.0,0.0701,6.134989
HD 118203 b,12.73340208,688.41632956,2005,5683.0,1494.0,0.07071,6.134985
HD 135694 b,2.5320132,6.1,2023,5698.0,750.83,0.12,15.92346
HD 135694 b,2.51,5.7,2023,5710.0,815.0,0.12,15.92346
HD 136352 b,1.482,4.62,2019,5850.0,911.0,0.0969,11.57779
HD 136352 b,1.664,4.72,2019,5664.0,905.0,0.0964,11.57797
HD 136352 c,2.608,11.29,2019,5850.0,682.0,0.1729,27.5909
HD 136352 c,2.916,11.24,2019,5664.0,677.0,0.1721,27.59221
HD 136352 d,2.562,8.82,2019,5664.0,431.0,0.425,107.245
HD 137496 b,1.31,4.04,2021,5799.0,2130.0,0.02732,1.62116
HD 1397 b,11.500434,131.89945,2018,5521.0,1228.3,0.1097,11.53533
