st_teff,pl_eqt,pl_rade,pl_orbsmax
5271.0,837.0,5.299,0.0795
5275.0,817.0,5.13,0.08036
5271.0,634.0,3.134,0.13843
5275.0,619.0,3.01,0.1399
5275.0,537.0,3.43,0.1862
5271.0,550.0,3.484,0.18422
5271.0,1066.0,1.212,0.04899
5282.0,650.0,8.675766,0.1016
3410.0,850.0,5.76,0.0409
6149.0,1715.0,15.434793,0.0465
6132.0,1742.0,15.13215,0.04419
4916.0,1328.0,1.43,0.02288
4916.0,1224.0,1.43,0.0223
4916.0,854.0,3.2,0.05528
4916.0,788.0,3.2,0.054
5705.0,1310.0,1.655,0.0503
5731.0,1266.0,1.54,0.04994
5757.0,1184.0,1.55,0.0506
5731.0,916.0,2.29,0.09514
5757.0,858.0,2.42,0.0964
5705.0,949.0,2.49,0.0959
4912.0,1670.0,5.71,0.0574
3173.0,412.4,1.015,0.027
3746.0,447.0,2.66,0.088
3861.0,558.0,3.31,0.063
3711.0,377.0,10.55,0.1208
5500.0,1400.0,7.655747,0.045
5887.0,1372.0,2.49,0.05983
5897.0,1022.0,4.09,0.0988
4673.0,1566.0,13.45077684,0.0854
6120.0,1102.0,4.3,0.0943
6260.0,1185.0,5.06645928,0.0986
6069.0,1184.0,11.88151954,0.153
5948.0,1377.0,15.681391,0.0525
5370.0,1712.0,15.35633,0.06229
5375.0,1712.0,15.13212395,0.0623
6279.0,1800.0,19.95202,0.06708
5802.0,1904.0,17.03768,0.02956
5720.0,1970.0,19.537287,0.03005
6003.0,1642.0,16.174587,0.04613
6236.0,2453.0,15.860735,0.02044
7454.0,2087.0,17.093725,0.04881
6670.0,2085.0,17.59813,0.0455
7500.0,1935.0,21.40919,0.0637
8980.0,2260.0,20.51247,0.057
8720.0,2262.0,19.514869,0.0542
7598.0,2051.0,17.777474,0.05224
5899.0,1561.0,14.829507,0.03302
6415.0,1473.0,15.24421375,0.067
6426.0,1391.0,12.71098411,0.0665
6509.0,1459.0,14.257848,0.06969
