pl_orbper,pl_rade
17.10197,9.97599282
22.65398,11.2089807
4.0197517,8.60849718
5.1750073,10.83908434
13.33668,10.42435205
4.31361,6.81
5.4693827,11.72459381
1.2730991,1.402
8.465651,2.18
2.13570304,11.48920522
3.0766891,2.86
8.275479,9.86390302
4.3474032,10.36830715
7.397225,1.52
15.66858,2.363
69.33684,9.60609646
3.73659,2.83
10.655669,11.14172682
3.738252,6.06
7.18585,11.2089807
64.5949,11.54525012
94.1022,11.25381662
5.983944,10.92875618
18.38818,7.16253867
2.9887615,13.64132951
3.39775,17.37392009
4.5207265,14.4595851
5.45664,12.07207221
61.6277,12.10569916
13.475853,1.71
13.475815,1.47291596
4.880974,18.10250383
3.6977104,2.77
3.3601538,1.206
5.6605731,2.355
11.379573,2.133
2.499387,13.72
4.8084983,17.26183028
1.96229325,18.11371281
4.039709,15.27784069
3.5514058,12.84549188
4.5117244,1.42
39.361826,1.88
1.8237146,12.32987877
2.3505614,13.15934334
3.601501,13.4
3.122832,12.55405838
3.9014971,16.43236571
1.266938,7.16
2.59261842,11.39953337
0.8831331,3.82
5.70439,4.94057819
0.777038,3.2
3.6525145,15.55806521
2.0180231,12.97999965
5.8768918,12.22899794
3.119999,23.53885947
4.417965,5.3
3.936551,8.29464572
3.9365578,8.29464572
3.246075,13.08088048
9.088516,12.59889431
2.154849,11.32107051
2.15484802,11.14172682
3.438753,12.0
4.6747373,5.14
2.8989727,18.49481816
3.2443141,13.13692538
11.88865,10.87271128
4.5445828,6.43
4.5445697,6.0
4.3345401,15.15454191
4.3345401,15.22179579
4.33454,15.27784069
3.4936264,14.28024141
7.433234,12.31866979
6.607662,12.27383387
4.353326,7.9
1.348335,3.02
5.414654,5.93
14.70886,6.18
3.307441,1.32
13.175682,2.08
3.1774835,13.04725353
4.040295,1.362
9.573083,2.328
56.39879,12.28504285
3.8016122,13.57407563
4.0664428,13.30506009
4.6174141,16.11851425
3.5819194,13.67495645
3.5819232,12.69
3.5819134,12.66614819
5.197576,2.64
5.19672,2.68
16.067541,5.09
16.06819,5.09
0.490047,1.28
12.46103,3.29
30.08364,11.2089807
7.44628,2.52
2.8807198,13.26022417
15.266446,12.17
225.11781,12.53
82.6869,6.8
482.8191,9.42
7.24599,11.67975789
4.28088,12.44196858
6.866196,2.85372018
10.33111,11.09691
1.52275959,8.47398941
1.5227591,8.7
10.60057,12.87
21.491984,8.54124329
0.548177,1.166
6.3085044,6.25
10.24368,10.76062147
23.443162,3.48935569
6.753581,6.6
30.158577,11.98240037
20.33003,11.88151954
1.2652328,11.99363
1.2652328,11.54525012
1.26523248,11.87031056
1.630757,11.6
4.291452,9.86
4.0966692,12.778238
2.930289,11.9
6.387597,9.30345398
2.262196,9.86390302
5.858858,13.09208946
5.858858,13.19297028
5.858857,13.5292397
2.3266508,5.82
3.792622,10.60369574
3.792622,9.7
10.590547,10.3
4.77271,3.52
1.548352,2.018
75.12375,11.30986153
8.79758977,9.75
14.574071,12.17295304
6.9839095,12.22899794
0.446573,1.45
0.44656895,1.45661206
0.4465688,1.425
10.778831,2.91
10.778849,2.92706747
10.77892,2.9
25.71255,2.72148317
25.7124,2.82
77.03,2.55
2.002849,10.78
2.2035373,10.42
1.651144,11.43318
47.73022,4.91
2.94815527,10.3
1.4344555,1.09
12.779107,8.54
0.8574347,1.03
4.023687,13.67495645
2.576184,11.92
5.8267311,6.41
2.392679,14.3474953
4.6615983,18.97680433
6.402513,9.2362001
3.4095675,11.88154
1.79058695,11.29
5.0037775,19.851139
18.18424,10.98480109
2.598902,2.27
4.6955507,2.26
7.1027268,1.92
5.056973,5.09
3.945152,2.58606487
3.94515,2.6
80.389,9.52763359
1.977143,5.25
11.2366,13.11453
3.37077196,9.5836785
4.884765,1.992
17.46819,2.5
3.4716826,8.33948164
5.6057,2.28
12.2737,2.63
2.3260155,1.36
8.24662,1.798
8.24661,1.85
15.6653,2.02
15.665323,2.047
4.633611,15.4
8.0240015,2.734
11.197259,2.94
34.976145,2.62
1.392978,2.926
3.81673,1.704
8.59545,2.587
8.3249113,9.16894621
8.3249102,9.71
3.2797178,14.06727078
10.62656,11.99363
3.739494,13.125739
3.183792,3.186
3.6849729,9.550068
1.8237305,2.765
1.51087081,1.086
2.4218233,1.056
4.04961,0.772
6.099615,0.918
9.20669,1.045
12.35294,1.127
3.0300728,12.318691
3.030065,11.96
2.4706132,13.955205
2.47061317,13.977623
2.47061323,13.372337
2.4706101,14.134549
2.47063,13.719816
1.3061864,14.627745
1.306187,14.68379
1.30619,14.706208
3.5539268,19.447615
3.553945,19.626959
3.553945,20.28829
3.55392771,20.602142
3.5539246,19.122554
1.48224686,13.383546
2.51994529,16.241841
2.5199464,16.735037
2.519961,16.634156
3.0927616,11.960003
3.1,12.3
3.0927616,12.106
2.849375,18.94
3.585722,15.8
2.709813,14.90794433
0.925542,17.127
1.7554137,12.745
7.87288,10.76064
9.289715,12.162
5.72149,10.53646
3.722465,10.20019
3.72247967,11.09691
4.54216874538,15.793481
1.5487743,15.008851
6.6132,13.67495645
10.02165,11.444
4.0460435,16.14096
2.49979,15.6926
1.09142,21.711833
1.0914203,21.2971
1.0914222,20.456425
1.09142119,20.84874
3.6112706,16.510857
1.2749255,20.904785
2.9776412,14.773462
3.37265,13.89916
3.2888,10.76064
4.178062,15.35633
5.748145,10.42437
4.353011,17.127352
11.55098,9.97601
5.322023,13.67498
7.1335164,10.09929161
7.133521,9.75183
1.01153624,1.841
2.176423,13.56289
5.215357,15.46842
3.634433,12.21781
5.924262,8.9672
2.2437655,13.89916
2.2437661,18.304297
2.2359835,16.14096
3.310651,13.56289
2.052868,17.14977
2.2783152,9.52765
1.7690381,10.0881
4.60273,12.498035
8.80381,8.092898
1.332813,15.24421375
3.75209748,15.782272
5.644207,11.99363
4.533471,12.66617
3.332609,17.37395
3.811678,10.76062147
3.110413,13.45077684
3.836169,5.71659
3.8361623,6.02802815
3.656333,11.99363
3.840401,15.46842
3.1186068,13.652562
3.7684952,12.21781
5.4060425,12.811887
9.62468,11.209
1.6096884,13.473218
1.7771255,12.643752
3.465509,14.12334
5.44354,7.06167
2.0219596,17.71022
4.153658,16.8135
5.6114118,14.616536
3.735438,22.317119
2.34478022,12.285064
3.8186244,10.98482
5.477433,17.59813
1.3866529,14.403565
1.38665318,13.4508
4.2337,14.5717
4.2337005,16.10730527
3.0652907,13.540472
3.899052,16.869545
3.071722,17.71022
3.3448412,21.74546
3.3448285,20.28829
0.94145181,12.980022
0.94145223,13.89913607
0.94145181,13.036067
0.9,14.6
3.409264,13.89916
4.5195064,13.271456
3.3769848,9.52765
4.1117771,16.47723
5.1817,14.90797
9.38755,14.01125
5.748916,14.81827249
2.724033,18.14733975
0.788838989,15.602928
0.78883942,15.636555
0.78883852,15.86070769
5.367753,12.89035
2.8786765,13.78707
6.2463345,16.40994774
3.183387,15.47960235
5.051928,10.31226224
5.167228,14.44837612
2.15226,12.52
2.152226,12.005
2.15222144,11.690987
2.15222144,11.690987
2.15222144,11.915167
2.152175,12.116929
4.8996284,16.388
4.322506,14.156967
3.53273064,13.439591
3.53269,12.55408
2.3412217,14.605327
